"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/09/07 1:58:56 PM GMT+3","Жіноча","1998","5-10 років","Працівник","10 000 грн - 20 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Так","Так","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом"
"2025/09/07 2:39:35 PM GMT+3","Жіноча","1986","більше 20 років","Приватний підприємець","10 000 грн - 20 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","середній (B1)","Ні","Так","Ні","Храми","Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 2:44:44 PM GMT+3","Чоловіча","1982","більше 20 років","Військовослужбовець","40 000 грн - 60 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","просунутий (C1)","Частково","Частково","Ні","Вали городища;Храми;Вежа на консервному заводі","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом"
"2025/09/07 2:45:05 PM GMT+3","Чоловіча","1980","більше 20 років","Працівник","до 10 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","середній (B1)","Так","Так","Так","Вали городища;Храми","Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел"
"2025/09/07 3:08:55 PM GMT+3","Жіноча","1984","5-10 років","Працівник","10 000 грн - 20 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","елементарний (A2)","Частково","Так","Частково","Вали городища;Храми;Заклади харчування","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/07 3:09:13 PM GMT+3","Жіноча","1958","більше 20 років","Пенсіонер","до 10 000 грн",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Ні","Частково","Частково","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше екскурсій та гідів, в тому числі іноземними мовами;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 3:55:45 PM GMT+3","Жіноча","1953","більше 20 років","Пенсіонер","до 10 000 грн","","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","","середній (B1)","Ні","Ні","Ні","Вали городища","Більше екскурсій та гідів, в тому числі іноземними мовами","Центр історії княжого Володимира"
"2025/09/07 5:10:56 PM GMT+3","Жіноча","1989","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","середній (B1)","елементарний (A2)","Частково","Так","Ні","Вали городища;Храми;Заклади харчування;Вежа на консервному заводі;Центральна площа","Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 5:27:57 PM GMT+3","Жіноча","1988","10-20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Ні","Частково","Ні","Таких немає","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
"2025/09/07 5:32:41 PM GMT+3","Жіноча","1996","більше 20 років","Військовослужбовець","40 000 грн - 60 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 6:29:04 PM GMT+3","Жіноча","1986","10-20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Ні","Частково","Вали городища;Заклади харчування","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;Парк пригод (мотузковий, zip-line);Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/07 6:33:31 PM GMT+3","Жіноча","1967","більше 20 років","Тимчасово не працюю","до 10 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","вище середнього (B2)","Так","Так","Так","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Піша доріжка, яка обєднуватиме туристичні об'єкти","Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line)"
"2025/09/07 7:28:51 PM GMT+3","Жіноча","1992","5-10 років","Тимчасово не працюю","20 000 грн - 40 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Ні","Ні","Вали городища;Храми;Центральна площа","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/07 7:54:55 PM GMT+3","Жіноча","1963","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Ні","Так","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 8:01:51 PM GMT+3","Жіноча","1973","більше 20 років","Тимчасово не працюю","до 10 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","середній (B1)","Ні","Ні","Ні","Таких немає","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Торгово-розважальний центр"
"2025/09/07 8:39:59 PM GMT+3","Чоловіча","1999","більше 20 років","Військовослужбовець","60 000 грн - 100 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","елементарний (A2)","Частково","Частково","Частково","Вали городища;Центральна площа","Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Парк пригод (мотузковий, zip-line)"
"2025/09/07 9:07:22 PM GMT+3","Жіноча","1986","10-20 років","Працівник","10 000 грн - 20 000 грн",">20%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","елементарний (A2)","початковий (A1)","Ні","Ні","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби)","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Сувенірні крамниці, майстерні ремесел"
"2025/09/07 9:31:53 PM GMT+3","Жіноча","1964","більше 20 років","Пенсіонер","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Ні","Частково","Ні","Вали городища;Храми","Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line)"
"2025/09/07 9:53:05 PM GMT+3","Жіноча","1989","більше 20 років","Приватний підприємець","20 000 грн - 40 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Частково","Так","Ні","Вали городища;Храми","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/08 7:36:05 AM GMT+3","Жіноча","1993","","Працівник","до 10 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","вище середнього (B2)","Частково","Частково","Ні","Храми","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line)"
"2025/09/08 8:05:29 AM GMT+3","Жіноча","1980","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Ні","Частково","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/08 8:24:08 AM GMT+3","Жіноча","1984","10-20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Частково","Так","Частково","Вали городища;Храми","Організація нових культурних та розважальних подій;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/08 9:24:52 AM GMT+3","Жіноча","1986","більше 20 років","Працівник","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Частково","Так","Ні","Таких немає","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами","Контактний зоопарк / міні-ферма для дітей;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/08 10:48:45 AM GMT+3","Жіноча","05.08.1993","більше 20 років","Тимчасово не працюю","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","елементарний (A2)","Ні","Так","Так","Вали городища;Храми","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом"
"2025/09/08 12:03:39 PM GMT+3","Чоловіча","1982","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","елементарний (A2)","Частково","Ні","Ні","Вали городища;Храми;Заклади харчування;Вежа на консервному заводі;Центральна площа","Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/08 1:18:53 PM GMT+3","Жіноча","1969","більше 20 років","Пенсіонер","до 10 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","початковий (A1)","Так","Так","Частково","Вали городища;Храми;Заклади харчування","Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Вело- та пішохідні маршрути з прокатом"
"2025/09/08 1:39:26 PM GMT+3","Жіноча","1978","більше 20 років","Приватний підприємець","40 000 грн - 60 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","На мене це ніяк не впливає","елементарний (A2)","вище середнього (B2)","Ні","Так","Ні","Вали городища;Таких немає","Розвиток закладів харчування та місцевої кухні","МакДональдс чи інший fast-food;Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел"
"2025/09/08 1:45:24 PM GMT+3","Жіноча","1991","10-20 років","Приватний підприємець","40 000 грн - 60 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","просунутий (C1)","середній (B1)","Ні","Так","Ні","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/08 2:34:19 PM GMT+3","Жіноча","","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Так","Частково","Таких немає","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/08 3:31:44 PM GMT+3","Жіноча","1982","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","","Ні","Ні","Не буду відповідати","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/08 4:18:43 PM GMT+3","Чоловіча","1985","менше 2 років","Працівник","20 000 грн - 40 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Частково","Так","Частково","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом"
"2025/09/08 6:11:48 PM GMT+3","Жіноча","1984","10-20 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Так","Частково","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/08 6:16:58 PM GMT+3","Жіноча","1969","більше 20 років","Працівник","до 10 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","початковий (A1)","Так","Так","Частково","Вали городища;Храми","Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Вело- та пішохідні маршрути з прокатом"
"2025/09/09 8:42:31 AM GMT+3","Жіноча","1986","більше 20 років","Приватний підприємець","20 000 грн - 40 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","вище середнього (B2)","Ні","Ні","Так","Вали городища;Храми;Центральна площа","Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line)"
"2025/09/09 10:20:41 AM GMT+3","Жіноча","1974","більше 20 років","Приватний підприємець","20 000 грн - 40 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Частково","Ні","Вали городища;Храми;Заклади харчування;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/09 11:38:53 AM GMT+3","Жіноча","1993","2-5 років","Приватний підприємець","20 000 грн - 40 000 грн","10%-20%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","вище середнього (B2)","початковий (A1)","Ні","Так","Ні","Таких немає","Організація нових культурних та розважальних подій","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/09 11:43:51 AM GMT+3","Жіноча","1993","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Так","Так","Ні","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/09 11:48:03 AM GMT+3","Жіноча","2002","більше 20 років","Працівник","20 000 грн - 40 000 грн",">20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;SPA- та wellness-комплекс (сауни, басейн);Торгово-розважальний центр"
"2025/09/09 12:00:13 PM GMT+3","Жіноча","2003","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","елементарний (A2)","Ні","Так","Ні","Вали городища;Храми;Центральна площа","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
